sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
0.800531,0.402728,2.062288,0.434466,1.995099,0.989594,0.501675,0.452575,0.815473,0.377676,0.457003,1.815046,0.088849,0.293526,0.419763,0.967893,0.590712,0.031286,1.181050,0.723644,0.905592,0.108733,0.475804,0.381424,0.792819,0.169709,0.133683,0.978235,0.914567,0.667940,1.175543,0.971213,0.622840,0.582536,0.642967,0.525830,0.736668,0.522363,2.077697,0.368454,1.030684
0.798071,0.402808,2.069232,0.436684,1.993858,0.988113,0.500343,0.452441,0.812396,0.377595,0.455323,1.814493,0.089479,0.291781,0.420291,0.974063,0.589253,0.031201,1.176343,0.723049,0.904597,0.108100,0.479274,0.379410,0.797243,0.170964,0.134029,0.979984,0.912747,0.663412,1.177578,0.980296,0.618229,0.578881,0.643827,0.525183,0.738237,0.521962,2.081523,0.369869,1.032119
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.795976,0.404542,2.064691,0.436705,1.994392,0.989961,0.500155,0.453814,0.822200,0.377977,0.458591,1.801095,0.090207,0.291926,0.418849,0.975013,0.592212,0.031282,1.171234,0.720360,0.907292,0.107825,0.481272,0.380762,0.796616,0.170197,0.133941,0.976180,0.908528,0.664262,1.180547,0.986134,0.620906,0.580864,0.645152,0.523031,0.734628,0.523934,2.058739,0.369249,1.028353
0.800130,0.405380,2.075162,0.437370,1.994111,0.988859,0.497189,0.452961,0.823994,0.379295,0.456930,1.796872,0.089839,0.289332,0.420112,0.976146,0.590352,0.031200,1.173045,0.722385,0.906695,0.108434,0.477988,0.383175,0.795551,0.169822,0.134219,0.979715,0.914625,0.666852,1.182353,0.980209,0.618543,0.581079,0.644639,0.528403,0.733981,0.523549,2.065714,0.370170,1.027869
0.800130,0.405380,2.075162,0.437370,1.994111,0.988859,0.497189,0.452961,0.823994,0.379295,0.456930,1.796872,0.089839,0.289332,0.420112,0.976146,0.590352,0.031200,1.173045,0.722385,0.906695,0.108434,0.477988,0.383175,0.795551,0.169822,0.134219,0.979715,0.914625,0.666852,1.182353,0.980209,0.618543,0.581079,0.644639,0.528403,0.733981,0.523549,2.065714,0.370170,1.027869
0.792058,0.404494,2.069630,0.435629,1.987538,0.985479,0.497972,0.454537,0.821467,0.377996,0.456341,1.811245,0.089354,0.288459,0.418717,0.984316,0.587306,0.031401,1.184353,0.720782,0.904318,0.108061,0.477330,0.384247,0.797040,0.169455,0.134209,0.977506,0.915972,0.666112,1.183727,0.982639,0.620245,0.585506,0.644691,0.526180,0.735920,0.520762,2.055069,0.368543,1.024218
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786321,0.403286,2.059137,0.436296,1.987162,0.986029,0.496374,0.453230,0.817651,0.377779,0.455361,1.805446,0.089170,0.289696,0.419047,0.985379,0.583914,0.031373,1.188017,0.719569,0.903954,0.107660,0.478354,0.381525,0.796182,0.169762,0.134192,0.976922,0.917267,0.665750,1.179683,0.983984,0.617035,0.588056,0.641453,0.526907,0.738857,0.518795,2.057216,0.366563,1.031253
0.786458,0.403492,2.056060,0.435843,1.979242,0.985156,0.493446,0.450733,0.815359,0.377965,0.456233,1.809306,0.089350,0.288913,0.418221,0.980703,0.581402,0.031461,1.181555,0.721876,0.906143,0.106869,0.477832,0.381946,0.800174,0.169327,0.134984,0.978336,0.910919,0.667374,1.188107,0.985564,0.619020,0.585853,0.641835,0.527716,0.733679,0.520334,2.066477,0.368522,1.033237
0.786458,0.403492,2.056060,0.435843,1.979242,0.985156,0.493446,0.450733,0.815359,0.377965,0.456233,1.809306,0.089350,0.288913,0.418221,0.980703,0.581402,0.031461,1.181555,0.721876,0.906143,0.106869,0.477832,0.381946,0.800174,0.169327,0.134984,0.978336,0.910919,0.667374,1.188107,0.985564,0.619020,0.585853,0.641835,0.527716,0.733679,0.520334,2.066477,0.368522,1.033237
0.788233,0.401357,2.037467,0.436939,1.982207,0.989499,0.488835,0.453243,0.822232,0.380045,0.456195,1.813208,0.089571,0.290664,0.418810,0.982189,0.581386,0.031472,1.180976,0.717540,0.910524,0.106832,0.475863,0.386081,0.804449,0.168885,0.135880,0.977709,0.911078,0.659951,1.186192,0.982867,0.620690,0.587428,0.641218,0.528650,0.732753,0.518252,2.063225,0.368815,1.035477
