sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
1.187334,0.334929,3.464737,0.557138,1.099984,0.336658,0.314623,0.394763,0.758516,0.506684,0.546128,1.855665,0.087819,0.351791,0.425943,0.000000,0.000000,0.000000,0.000000,0.890006,0.931645,0.227740,0.943329,0.366735,0.870098,0.048488,0.116757,0.866036,0.000000,0.000000,1.674909,0.960362,0.755478,0.498781,0.468322,0.504980,1.454029,0.550558,1.511538,0.000000,0.000000
1.168510,0.333756,3.393659,0.559784,1.087306,0.337283,0.312814,0.396642,0.766325,0.513972,0.536273,1.875101,0.086829,0.349621,0.424050,0.000000,0.000000,0.000000,0.000000,0.883273,0.927845,0.226882,0.952961,0.373537,0.862889,0.049294,0.118416,0.865907,0.000000,0.000000,1.670316,0.977884,0.765480,0.498009,0.469225,0.506336,1.466104,0.547895,1.518000,0.000000,0.000000
1.187926,0.331697,3.442131,0.562719,1.094126,0.341481,0.308502,0.395001,0.762580,0.515482,0.529265,1.903470,0.086118,0.352602,0.420470,0.000000,0.000000,0.000000,0.000000,0.856733,0.915229,0.224190,0.953046,0.371647,0.873912,0.049194,0.117214,0.872045,0.000000,0.000000,1.651189,0.972461,0.767263,0.495421,0.463299,0.505502,1.464995,0.538168,1.524217,0.000000,0.000000
1.185483,0.330915,3.445206,0.556690,1.100500,0.335068,0.313591,0.396711,0.751775,0.516558,0.528102,1.886381,0.084693,0.350966,0.417680,0.000000,0.000000,0.000000,0.000000,0.848782,0.920915,0.220221,0.954058,0.365513,0.878470,0.049122,0.118574,0.875668,0.000000,0.000000,1.619439,0.979585,0.777099,0.505168,0.458115,0.503261,1.466183,0.538577,1.493804,0.000000,0.000000
1.198454,0.327027,3.502845,0.560414,1.101140,0.333619,0.311339,0.391328,0.749722,0.508693,0.529693,1.916203,0.085377,0.344577,0.419053,0.000000,0.000000,0.000000,0.000000,0.844256,0.910517,0.219782,0.950147,0.363988,0.894873,0.049196,0.118427,0.865637,0.000000,0.000000,1.611224,0.996698,0.771728,0.509134,0.445543,0.501279,1.458570,0.545297,1.485415,0.000000,0.000000
1.198454,0.327027,3.502845,0.560414,1.101140,0.333619,0.311339,0.391328,0.749722,0.508693,0.529693,1.916203,0.085377,0.344577,0.419053,0.000000,0.000000,0.000000,0.000000,0.844256,0.910517,0.219782,0.950147,0.363988,0.894873,0.049196,0.118427,0.865637,0.000000,0.000000,1.611224,0.996698,0.771728,0.509134,0.445543,0.501279,1.458570,0.545297,1.485415,0.000000,0.000000
1.198454,0.327027,3.502845,0.560414,1.101140,0.333619,0.311339,0.391328,0.749722,0.508693,0.529693,1.916203,0.085377,0.344577,0.419053,0.000000,0.000000,0.000000,0.000000,0.844256,0.910517,0.219782,0.950147,0.363988,0.894873,0.049196,0.118427,0.865637,0.000000,0.000000,1.611224,0.996698,0.771728,0.509134,0.445543,0.501279,1.458570,0.545297,1.485415,0.000000,0.000000
1.198454,0.327027,3.502845,0.560414,1.101140,0.333619,0.311339,0.391328,0.749722,0.508693,0.529693,1.916203,0.085377,0.344577,0.419053,0.000000,0.000000,0.000000,0.000000,0.844256,0.910517,0.219782,0.950147,0.363988,0.894873,0.049196,0.118427,0.865637,0.000000,0.000000,1.611224,0.996698,0.771728,0.509134,0.445543,0.501279,1.458570,0.545297,1.485415,0.000000,0.000000
1.194765,0.321532,3.526879,0.559933,1.121652,0.332473,0.312164,0.394053,0.760354,0.513263,0.525475,1.897696,0.086044,0.351106,0.422327,0.000000,0.000000,0.000000,0.000000,0.865480,0.902697,0.219912,0.962320,0.360316,0.873158,0.048469,0.117225,0.871408,0.000000,0.000000,1.603332,1.013975,0.778070,0.514584,0.452994,0.500151,1.417497,0.548169,1.476374,0.000000,0.000000
1.194765,0.321532,3.526879,0.559933,1.121652,0.332473,0.312164,0.394053,0.760354,0.513263,0.525475,1.897696,0.086044,0.351106,0.422327,0.000000,0.000000,0.000000,0.000000,0.865480,0.902697,0.219912,0.962320,0.360316,0.873158,0.048469,0.117225,0.871408,0.000000,0.000000,1.603332,1.013975,0.778070,0.514584,0.452994,0.500151,1.417497,0.548169,1.476374,0.000000,0.000000
